"","QTL","N_QTLs","N_QTLs_db","Total_annotated_QTLs","Total_QTLs_db","pvalue","adj.pval","QTL_type"
"19","Rear leg placement - rear view",4,491,75,163224,0.0000830196622590038,0.00116227527162605,"Exterior"
"20","Rear leg placement - side view",4,430,75,163224,0.0000497911231023468,0.00116227527162605,"Exterior"
"7","Feet and leg conformation",4,627,75,163224,0.000211171461729405,0.00192158943542972,"Exterior"
"8","Foot angle",4,672,75,163224,0.000274512776489959,0.00192158943542972,"Exterior"
"4","Calving ease",8,3819,75,163224,0.00037391753525838,0.00209393819744693,"Reproduction"
"24","Teat placement - front",3,327,75,163224,0.000483436448008682,0.00225603675737385,"Exterior"
"17","Net merit",4,903,75,163224,0.000828297133378014,0.00331318853351206,"Production"
"14","Milk potassium content",3,570,75,163224,0.00237344908066656,0.00830707178233296,"Milk"
"18","PTA type",3,627,75,163224,0.00310214343860714,0.00936330967714022,"Production"
"22","Stillbirth",4,1363,75,163224,0.00367844308744794,0.00936330967714022,"Reproduction"
"26","Udder attachment",3,655,75,163224,0.00350505006941104,0.00936330967714022,"Exterior"
"27","Udder depth",3,695,75,163224,0.00413390313731202,0.00964577398706139,"Exterior"
"11","Length of productive life",4,2004,75,163224,0.0138268479685686,0.029780903316917,"Production"
"23","Strength",2,664,75,163224,0.0377214800167973,0.0754429600335946,"Exterior"
"6","Fecal larva count",1,125,75,163224,0.0558511492143429,0.10425547853344,"Health"
"10","Interval to first estrus after calving",2,1053,75,163224,0.0848080339882221,0.148414059479389,"Reproduction"
"25","Teat placement - rear",1,298,75,163224,0.128103580080444,0.210994131897201,"Exterior"
"9","Interval from first to last insemination",1,445,75,163224,0.18518919647595,0.288072083407034,"Reproduction"
"28","Udder height",1,504,75,163224,0.207049549300149,0.30512565160022,"Exterior"
"2","Body depth",1,616,75,163224,0.246967194195374,0.345754071873524,"Production"
"5","Connective tissue amount",2,3142,75,163224,0.424666495622451,0.516985299018636,"Meat and Carcass"
"16","Milk protein yield",2,3093,75,163224,0.416878401876318,0.516985299018636,"Milk"
"21","Somatic cell score",1,1122,75,163224,0.403959699977052,0.516985299018636,"Health"
"1","Average daily gain",1,3140,75,163224,0.767111284619904,0.859164638774293,"Production"
"12","Milk fat percentage",4,10941,75,163224,0.74858631728776,0.859164638774293,"Milk"
"3","Body weight",1,4289,75,163224,0.864335751049019,0.917550876534048,"Production"
"13","Milk fat yield",2,8220,75,163224,0.89679850077269,0.917550876534048,"Milk"
"15","Milk protein percentage",2,8803,75,163224,0.917550876534048,0.917550876534048,"Milk"
